flaskbb/flaskbb/cli/main.py:381:12: blacklist, severity: MEDIUM, confidence: HIGH, Use of possibly insecure function - consider using safer ast.literal_eval.
flaskbb/tests/unit/test_forum_models.py:482:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:486:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:490:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:498:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:503:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:505:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:506:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:507:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:508:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:520:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:526:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:527:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:528:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:533:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:534:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:535:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:540:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:541:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:542:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:543:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:545:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:553:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:557:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:561:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:572:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:578:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:590:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:596:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:603:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:604:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:605:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:606:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:607:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:608:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:610:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:611:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:612:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:613:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:614:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:615:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:619:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:621:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:622:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:623:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:625:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:626:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:627:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:631:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:633:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:634:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:635:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:637:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:638:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:639:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:647:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:648:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:649:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:654:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:660:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:661:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:662:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_forum_models.py:667:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_hideable_query.py:10:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_hideable_query.py:16:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_hideable_query.py:23:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_hideable_query.py:30:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_hideable_query.py:36:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:14:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:16:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:19:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:22:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:23:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:24:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:25:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:26:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:29:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:30:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:31:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:42:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:45:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:46:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:49:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:50:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:52:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:53:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:62:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:63:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:65:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:66:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:69:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:70:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:72:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:81:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:82:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:84:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:85:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:95:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:96:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:107:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_pluginmanager.py:108:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_requirements.py:19:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_requirements.py:23:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_requirements.py:27:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_requirements.py:31:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_requirements.py:35:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_requirements.py:39:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_requirements.py:43:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_requirements.py:47:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_requirements.py:51:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_requirements.py:55:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_requirements.py:60:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_requirements.py:66:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_requirements.py:71:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_requirements.py:77:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_requirements.py:86:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_requirements.py:92:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_requirements.py:97:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/test_requirements.py:102:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/tokens/test_serializer.py:19:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/tokens/test_serializer.py:29:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/tokens/test_serializer.py:44:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/tokens/test_serializer.py:50:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/tokens/test_verifiers.py:18:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/tokens/test_verifiers.py:19:4: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:41:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:42:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:43:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:44:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:59:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:61:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:76:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:77:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:90:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:91:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:92:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:93:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:130:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:131:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:132:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:133:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:151:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:167:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:184:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:185:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:186:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:214:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:218:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:219:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:228:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:245:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:260:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:261:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:262:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:294:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:295:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:296:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:317:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:329:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:342:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:343:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_controllers.py:344:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_forms.py:24:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_forms.py:41:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_forms.py:55:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_forms.py:80:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_forms.py:95:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_forms.py:107:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_forms.py:127:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_forms.py:155:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_forms.py:189:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_forms.py:211:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_update_details_handler.py:33:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_update_details_handler.py:52:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_update_details_handler.py:69:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_update_email_handler.py:36:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_update_email_handler.py:54:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_update_email_handler.py:70:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_update_password_handler.py:31:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
flaskbb/tests/unit/user/test_update_password_handler.py:51:8: assert_used, severity: LOW, confidence: HIGH, Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.
